filepath,layer,language,frequency
0shot_arabic_czech_predictions.csv,6,eng,1.3445000000000038
0shot_arabic_czech_predictions.csv,6,ces,3.31269999999998
0shot_arabic_czech_predictions.csv,7,ces,2.735099999999993
0shot_arabic_czech_predictions.csv,7,eng,10.033300000000017
0shot_arabic_czech_predictions.csv,8,eng,17.35079999999984
0shot_arabic_czech_predictions.csv,8,ces,0.12799999999999995
0shot_arabic_czech_predictions.csv,8,ara,0.039900000000000005
0shot_arabic_czech_predictions.csv,9,eng,5.037699999999981
0shot_arabic_czech_predictions.csv,9,ces,0.7390999999999996
0shot_arabic_czech_predictions.csv,9,ara,0.0019
0shot_arabic_czech_predictions.csv,12,eng,2.0948000000000078
0shot_arabic_czech_predictions.csv,12,ces,1.7760000000000085
0shot_arabic_czech_predictions.csv,13,eng,2.803900000000003
0shot_arabic_czech_predictions.csv,13,ces,0.7267999999999981
0shot_arabic_czech_predictions.csv,13,ara,0.0019
0shot_arabic_czech_predictions.csv,15,eng,8.980799999999968
0shot_arabic_czech_predictions.csv,15,ces,2.256900000000011
0shot_arabic_czech_predictions.csv,15,ara,0.27690000000000003
0shot_arabic_czech_predictions.csv,16,ces,5.4595999999999885
0shot_arabic_czech_predictions.csv,16,eng,13.720799999999953
0shot_arabic_czech_predictions.csv,16,ara,0.31910000000000016
0shot_arabic_czech_predictions.csv,17,ces,7.550799999999994
0shot_arabic_czech_predictions.csv,17,eng,20.030600000000025
0shot_arabic_czech_predictions.csv,17,ara,0.25460000000000005
0shot_arabic_czech_predictions.csv,18,ces,6.013799999999995
0shot_arabic_czech_predictions.csv,18,eng,59.68950000000012
0shot_arabic_czech_predictions.csv,18,ara,0.8266
0shot_arabic_czech_predictions.csv,19,eng,226.61019999999934
0shot_arabic_czech_predictions.csv,19,ces,6.346200000000008
0shot_arabic_czech_predictions.csv,19,ara,0.9056999999999996
0shot_arabic_czech_predictions.csv,20,eng,349.5038999999983
0shot_arabic_czech_predictions.csv,20,ces,6.1375000000000055
