filepath,layer,language,frequency
0shot_czech_english_predictions.csv,23,eng,620.5502999999994
0shot_czech_english_predictions.csv,23,ces,13.726499999999998
0shot_czech_english_predictions.csv,24,eng,613.4745000000003
0shot_czech_english_predictions.csv,24,ces,14.491099999999996
0shot_czech_english_predictions.csv,25,eng,619.4461000000005
0shot_czech_english_predictions.csv,25,ces,20.390499999999992
0shot_czech_english_predictions.csv,26,eng,643.312400000003
0shot_czech_english_predictions.csv,26,ces,32.76900000000001
0shot_czech_english_predictions.csv,27,eng,712.077399999999
0shot_czech_english_predictions.csv,27,ces,49.49459999999998
0shot_czech_english_predictions.csv,28,eng,623.5767000000033
0shot_czech_english_predictions.csv,28,ces,42.20650000000001
0shot_czech_english_predictions.csv,11,ces,1.6080000000000005
0shot_czech_english_predictions.csv,11,eng,2.029800000000001
5shot_czech_english_predictions.csv,1,ces,1000.0
5shot_czech_english_predictions.csv,2,ces,72.89639999999997
5shot_czech_english_predictions.csv,3,eng,1.0020000000000022
5shot_czech_english_predictions.csv,3,ces,0.49889999999999995
5shot_czech_english_predictions.csv,5,eng,2.857099999999989
5shot_czech_english_predictions.csv,5,ces,0.1593
5shot_czech_english_predictions.csv,7,eng,4.505900000000009
5shot_czech_english_predictions.csv,7,ces,0.5676
5shot_czech_english_predictions.csv,8,ces,2.813799999999998
5shot_czech_english_predictions.csv,8,eng,0.6961000000000007
5shot_czech_english_predictions.csv,10,eng,3.61579999999999
5shot_czech_english_predictions.csv,10,ces,1.3707000000000031
5shot_czech_english_predictions.csv,11,ces,6.820699999999989
5shot_czech_english_predictions.csv,11,eng,1.6004000000000063
5shot_czech_english_predictions.csv,14,ces,1.7563000000000064
5shot_czech_english_predictions.csv,14,eng,1.4156000000000033
5shot_czech_english_predictions.csv,15,eng,12.755799999999994
5shot_czech_english_predictions.csv,15,ces,1.3841000000000014
5shot_czech_english_predictions.csv,16,eng,87.67340000000013
5shot_czech_english_predictions.csv,16,ces,2.0566000000000004
5shot_czech_english_predictions.csv,17,eng,156.2199000000003
5shot_czech_english_predictions.csv,17,ces,1.4698000000000002
5shot_czech_english_predictions.csv,18,eng,212.59309999999957
5shot_czech_english_predictions.csv,18,ces,1.2137999999999993
5shot_czech_english_predictions.csv,19,eng,419.99090000000064
5shot_czech_english_predictions.csv,19,ces,2.0307000000000004
5shot_czech_english_predictions.csv,20,eng,534.141999999999
5shot_czech_english_predictions.csv,20,ces,3.7986
5shot_czech_english_predictions.csv,21,eng,636.3488999999986
5shot_czech_english_predictions.csv,21,ces,5.119000000000001
5shot_czech_english_predictions.csv,22,eng,654.6577000000012
5shot_czech_english_predictions.csv,22,ces,8.930000000000001
5shot_czech_english_predictions.csv,23,eng,651.8507000000003
5shot_czech_english_predictions.csv,23,ces,11.8933
5shot_czech_english_predictions.csv,24,eng,649.2900000000002
5shot_czech_english_predictions.csv,24,ces,12.263299999999997
5shot_czech_english_predictions.csv,25,eng,659.1159999999994
5shot_czech_english_predictions.csv,25,ces,17.8615
5shot_czech_english_predictions.csv,26,eng,682.9041000000009
5shot_czech_english_predictions.csv,26,ces,32.47579999999998
5shot_czech_english_predictions.csv,27,eng,763.2084999999968
5shot_czech_english_predictions.csv,27,ces,47.058000000000035
5shot_czech_english_predictions.csv,28,eng,719.5766999999988
5shot_czech_english_predictions.csv,28,ces,41.10070000000002
5shot_czech_english_predictions.csv,9,ces,1.357199999999999
5shot_czech_english_predictions.csv,9,eng,1.9944999999999984
5shot_czech_english_predictions.csv,6,eng,0.6261000000000005
5shot_czech_english_predictions.csv,6,ces,0.0304
5shot_czech_english_predictions.csv,12,ces,0.4364
5shot_czech_english_predictions.csv,12,eng,1.0760999999999996
5shot_czech_english_predictions.csv,13,ces,0.6969999999999991
5shot_czech_english_predictions.csv,13,eng,1.2094000000000011
5shot_czech_english_predictions.csv,4,ces,2.1152999999999924
5shot_czech_english_predictions.csv,4,eng,0.08589999999999999
1shot_czech_english_predictions.csv,1,ces,1000.0
1shot_czech_english_predictions.csv,2,ces,81.24880000000003
1shot_czech_english_predictions.csv,2,eng,0.0018
1shot_czech_english_predictions.csv,6,eng,0.5410000000000003
1shot_czech_english_predictions.csv,6,ces,0.905100000000001
1shot_czech_english_predictions.csv,7,eng,6.1210000000000315
